,PER,PER score,PSR,PSR score,EE,EE score,PCR,PCR score,6M momentum,Total Score
코리아에프티,6.153500557694835,86.25954198473282,0.276549512102602,80.38167938931298,10.054793686980108,82.44274809160305,3.7452779133944882,81.90839694656489,127.66,487.43160592816093
링네트,7.558847967183315,81.52671755725191,0.44404557208343254,68.01526717557252,8.343194422685412,86.56488549618321,1.9089160843211503,93.12977099236642,93.08,487.49647199921776
제이엠티,4.439529298615367,92.13740458015268,0.8156080735446047,50.68702290076336,5.746874900270067,92.67175572519083,2.2916368664384605,90.76335877862596,69.45,483.76392443570694
한국공항,6.199613748951252,86.10687022900763,0.3576263096962146,74.58015267175573,7.088870561492336,89.23664122137404,5.295197246396804,74.73282442748092,63.33,486.4979322551262
SNT홀딩스,3.9482133842500784,93.66412213740458,0.18191707503028312,88.16793893129771,3.810568242010734,96.56488549618321,1.6377996526397445,94.42748091603053,57.95,553.4714074019262
씨엘인터내셔널,1.0960531993595155,99.61832061068702,0.18296834430938835,88.09160305343511,2.2164649166641515,99.08396946564885,1.3006511608038898,97.09923664122138,52.99,567.981133822427
케이씨,6.1177398303945,86.56488549618321,0.4000474737738524,70.53435114503816,4.745862026160338,94.73282442748092,4.937931341967192,76.41221374045801,49.19,495.87027367042197
제이에스코퍼레이션,5.193351782613398,88.93129770992367,0.2665986585328955,80.99236641221374,9.124754688267144,84.04580152671755,2.402016511585984,89.46564885496183,48.37,503.3312176359458
아세아,4.453439791072428,91.98473282442748,0.196428938086877,86.7175572519084,6.564206473689271,90.45801526717557,1.2451766567014018,97.48091603053435,41.64,538.9204629393445
대상홀딩스,5.105693849885368,89.08396946564885,0.06360143986802758,98.16793893129771,23.530295211505823,60.229007633587784,1.0375471697549927,98.3969465648855,40.34,482.9036954312711
삼목에스폼,2.6282522831143305,97.25190839694656,0.7140888199109583,54.88549618320611,3.2426803871627516,97.55725190839695,3.4046718659384396,84.27480916030534,38.75,498.74410846537234
서연,1.8767349771089386,98.70229007633588,0.052422824127121195,98.93129770992367,5.972758485480868,91.90839694656489,0.8063165287188899,99.16030534351145,37.73,568.4886945932317
HDC,3.849772161607037,93.81679389312977,0.07366834516097269,97.48091603053435,18.224690510939247,66.6412213740458,1.7817297385862718,93.96946564885496,36.81,496.3379148742198
한양이엔지,4.085109984844735,93.3587786259542,0.30799686948344196,77.93893129770993,4.262439468805714,95.80152671755725,2.1261928074685748,91.83206106870229,34.63,533.4160775277684
현대지에프홀딩스,0.6436368079352316,99.8473282442748,0.2694758745138143,80.83969465648855,2.8342611169999827,98.54961832061069,15.77072575591467,50.916030534351144,32.51,503.0620513212686
사조대림,2.835521605113282,96.94656488549619,0.12553673163799386,93.05343511450381,4.820024372433485,94.58015267175573,1.4818063585372998,95.41984732824427,28.21,560.1967913788357
티에이치엔,2.3368000378051326,98.01526717557252,0.11328704060723216,94.12213740458016,8.236454431487573,87.02290076335878,1.4852387847827382,95.34351145038168,26.15,544.9053073570517
에스에이엠티,9.802024925878213,76.41221374045801,0.1505284653376669,90.45801526717557,14.103518229945532,73.66412213740458,2.294001179452981,90.68702290076335,25.05,482.3748693585865
정다운,2.9390939466591175,96.6412213740458,0.5171563131671617,63.81679389312977,3.9661966117979266,96.41221374045801,2.862747511490721,87.25190839694656,23.06,511.98651461695516
GS글로벌,7.858768318913146,80.45801526717557,0.055713066109317755,98.70229007633588,18.50821555784652,66.03053435114504,0.9019281984931404,98.85496183206106,19.14,489.72617884116494
두올,5.288550503103881,88.3206106870229,0.14635734005592138,91.06870229007633,9.044348134127315,84.65648854961832,6.590577819891387,69.69465648854961,18.69,496.14687616098956
SK디스커버리,4.768084011815914,90.68702290076335,0.10189592504634487,95.19083969465649,17.308644707707618,68.09160305343511,1.5164840572822849,95.19083969465649,18.53,494.85308260731625
삼양사,4.789175092450177,90.53435114503817,0.19304890171689157,87.09923664122138,12.21713610271972,77.78625954198473,1.9440596412414493,92.82442748091603,17.65,502.9351204414213
KPX홀딩스,2.7005754989273227,97.09923664122138,0.1879277962281411,87.63358778625954,2.9047017617688122,98.47328244274809,2.3522447474959325,89.8473282442748,16.92,555.135435755142
유비벨록스,3.645608605800325,94.42748091603053,0.1257672914594826,92.97709923664122,5.6635468465324,92.74809160305344,1.0789617236234745,98.09160305343511,16.41,556.4811348902923
