,corp_code,stock_code,revPER,revPER score,Total Score
삼부토건,00125974,001470,0.00013396417835681644,99.92570579494799,99.92570579494799
대주산업,00112457,003310,0.00021020594441709144,99.85141158989599,99.85141158989599
금호에이치티,00105606,214330,0.0050480970425144205,99.77711738484398,99.77711738484398
블레이드 Ent,00173449,044480,0.007565485030272794,99.70282317979198,99.70282317979198
해성산업,00219361,034810,0.008106567578103671,99.62852897473996,99.62852897473996
인성정보,00229021,033230,0.023763895484043084,99.55423476968797,99.55423476968797
휴림에이텍,00230814,078590,0.025688046171009667,99.47994056463595,99.47994056463595
디모아,00125725,016670,0.026982969816624517,99.40564635958395,99.40564635958395
다이나믹디자인,00453488,145210,0.02825199048895482,99.33135215453194,99.33135215453194
녹십자홀딩스,00108135,005250,0.030518618370694132,99.25705794947994,99.25705794947994
나노,00994994,187790,0.033263564794785434,99.18276374442793,99.18276374442793
중앙에너비스,00149770,000440,0.041172045649686725,99.10846953937593,99.10846953937593
형지I&C,00142713,011080,0.042177187143353084,99.03417533432392,99.03417533432392
LG전자,00401731,066570,0.04376201717628927,98.95988112927192,98.95988112927192
팜젠사이언스,00135050,004720,0.04699461865730814,98.88558692421991,98.88558692421991
씨젠,00788773,096530,0.048361901361831106,98.81129271916791,98.81129271916791
좋은사람들,00205003,033340,0.0523538974737989,98.7369985141159,98.7369985141159
아이티센,00620868,124500,0.05375983318053017,98.6627043090639,98.6627043090639
코스온,00402989,069110,0.05622834231065344,98.58841010401188,98.58841010401188
엘컴텍,00242712,037950,0.06260215510380382,98.51411589895989,98.51411589895989
셀트리온,00413046,068270,0.0644696909126583,98.43982169390787,98.43982169390787
MIT,00215976,038340,0.06843938525405881,98.36552748885588,98.36552748885588
이지홀딩스,00242378,035810,0.0698063470520201,98.29123328380386,98.29123328380386
네패스,00227333,033640,0.06987732943388779,98.21693907875186,98.21693907875186
한일홀딩스,00162993,003300,0.07075609118466647,98.14264487369985,98.14264487369985
